,date,count,Compound,Positive,Negative,Neutral
0,2020-03-05,71,0.20018028169014088,0.08240845070422541,0.05264788732394365,0.8649154929577462
1,2020-03-06,581,-0.1001194492254734,0.07414974182444062,0.10920654044750423,0.8166437177280559
2,2020-03-07,711,-0.13484374120956386,0.06568213783403665,0.1196174402250352,0.8147088607594937
3,2020-03-08,1150,-0.04098417391304365,0.06482173913043503,0.0770469565217391,0.8581417391304337
10,2020-03-09,1081,-0.06185624421831627,0.06517113783533765,0.0900860314523589,0.844736355226645
4,2020-03-10,1359,-0.08801361295069902,0.07263944076526847,0.11712362030905052,0.8102141280353173
11,2020-03-11,2462,-0.05526961819658805,0.07637367993501236,0.10725873273761166,0.8163013809910605
12,2020-03-12,6063,-0.03606767276925537,0.06352647204354278,0.0816942107867384,0.8547715652317345
5,2020-03-13,3083,-0.090532468374959,0.06807362958157617,0.10036457995458947,0.8314810249756794
13,2020-03-14,4173,-0.12185808770668495,0.051187874430865005,0.10365803977953487,0.8451504912533018
6,2020-03-15,2707,-0.16093738455855108,0.0629963058736608,0.13862689323974878,0.7984296268932513
7,2020-03-16,1648,-0.08430661407766989,0.06316140776699039,0.1032008495145629,0.8336432038834958
8,2020-03-17,2861,-0.05647032506116725,0.09635302341838432,0.1458413142257954,0.7578116043341533
14,2020-03-18,2750,-0.03164232727272799,0.12276945454545506,0.11561054545454592,0.761589090909096
9,2020-03-19,2183,-0.04297210261108561,0.10296839212093488,0.1153128721942275,0.7812675217590506
15,2020-03-20,2561,-0.0921868020304568,0.10132213978914473,0.13530378758297612,0.7633791487700168
16,2020-03-21,1847,-0.02112051976177593,0.10234813210611836,0.1107920952896584,0.7868933405522449
17,2020-03-22,2235,-0.018561029082774343,0.12095928411633068,0.12104161073825573,0.7582393736017856
18,2020-03-23,2478,0.027956658595641698,0.11325262308313135,0.12238054882970108,0.7644301856335753
19,2020-03-24,1672,-0.0015648325358852625,0.08490370813397123,0.11793181818181787,0.7972595693779956
20,2020-03-25,1400,-0.10294657142857123,0.08263571428571476,0.12262785714285702,0.7949142857142883
21,2020-03-26,931,0.14414489795918412,0.1354661654135333,0.1187787325456498,0.7457658431793771
22,2020-03-27,1330,0.05412917293233075,0.10956090225563893,0.11351203007518808,0.7769218045112782
23,2020-03-28,1125,-0.00045457777777779416,0.09309244444444456,0.0955217777777777,0.8113840000000007
24,2020-03-29,1281,-0.037829195940671266,0.09822326307572198,0.11129508196721302,0.7904629195940659
25,2020-03-30,968,0.08293729338842969,0.10811880165289266,0.11218801652892556,0.7797076446280992
26,2020-03-31,972,-0.010260082304526729,0.09410288065843617,0.10171193415637862,0.8041275720164609
27,2020-04-01,1298,0.017625192604006173,0.117604776579353,0.11710323574730312,0.7653127889060124
28,2020-04-02,266,-0.08452706766917292,0.07969172932330829,0.11977067669172928,0.8005375939849623
29,2020-04-03,728,-0.07969574175824175,0.07816758241758237,0.1061978021978021,0.8156236263736265
30,2020-04-04,628,-0.05149729299363058,0.0848614649681529,0.10541401273885352,0.8081305732484083
31,2020-04-05,644,-0.11453664596273296,0.07337888198757772,0.15985714285714273,0.766782608695653
32,2020-04-06,905,-0.19483801104972445,0.07300662983425417,0.19498563535911576,0.7319867403314935
33,2020-04-07,756,-0.06887619047619055,0.07628968253968263,0.10704761904761896,0.8166402116402114
34,2020-04-08,825,-0.01183454545454556,0.09844606060606036,0.09931030303030307,0.8022024242424219
35,2020-04-09,1044,0.028151724137931,0.1013429118773946,0.08925957854406134,0.8094032567049815
36,2020-04-10,3635,0.011417991746905054,0.09163961485557076,0.08497166437414022,0.8233801925722135
37,2020-04-11,3521,-0.049678443623970815,0.09324084067026356,0.10350667424027284,0.8029610905992619
38,2020-04-12,3407,-0.02229354270619327,0.10266656882888214,0.10919195773407712,0.7881361901966579
39,2020-04-13,3869,-0.010627681571465436,0.09453579736365963,0.10641612819850133,0.7990483329025613
40,2020-04-14,2421,0.012193391160677398,0.08847377116893826,0.10797108632796301,0.8035390334572515
41,2020-04-15,2494,-0.04805777866880483,0.0740773857257416,0.0906222935044108,0.8353023255813968
42,2020-04-16,3247,0.03919069910686786,0.09918540190945496,0.08798675700646758,0.8128429319371724
43,2020-04-17,3457,-0.011641799247902929,0.08393780734741105,0.08761990164882849,0.8281729823546452
44,2020-04-18,3661,0.0029001092597650945,0.08931439497405079,0.08953100245834472,0.8211349358098848
45,2020-04-19,3674,-0.020658791507893275,0.09206015242242756,0.09844910179640746,0.8094719651605874
46,2020-04-20,3245,2.4622496147980748e-05,0.0916157164869027,0.09354791987673294,0.8147611710323495
47,2020-04-21,4264,-0.02318771106941846,0.08403635084427802,0.08994371482176339,0.8253119136960582
48,2020-04-22,4331,-0.04056065573770507,0.08530939736781362,0.0962505195105058,0.8184393904410056
49,2020-04-23,2507,0.01971862784204229,0.08991463901076978,0.08327483047467095,0.8268224970083765
50,2020-04-24,4184,0.022757433078393872,0.09653322179732343,0.0861044455066922,0.8173381931166346
51,2020-04-25,3476,-0.0496343498273881,0.08616225546605287,0.09789211737629464,0.8159277905638654
52,2020-04-26,3297,-0.04578920230512597,0.09138186229905984,0.10273127085229,0.8058832271762194
53,2020-04-27,2829,-0.03881611876988319,0.08955638034641265,0.09795298692117337,0.8125132555673388
54,2020-04-28,2906,-0.034333310392292,0.0895326909841706,0.09596421197522394,0.8145099793530601
55,2020-04-29,4164,0.009850024015369871,0.09282516810758863,0.0873801633045148,0.8195240153698351
56,2020-04-30,3682,0.0014365290602933304,0.09273003802281413,0.08867381857686041,0.8185936990765863
